0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:54:44 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/js/jquery-3.1.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:54:44 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:54:44 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:54:44 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/css/rodape.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:56:00 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 3642
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:57:27 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 3832
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:57:27 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/js/jquery-3.1.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:57:27 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:57:27 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:57:27 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/css/rodape.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:57:39 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/listar-processo.jsp HTTP/1.1" 200 5488
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:57:42 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 3832
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:58:02 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 3833
0:0:0:0:0:0:0:1 - - [16/Sep/2016:15:58:31 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 3840
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:14:20 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 3861
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:14:20 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/js/jquery-3.1.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:14:20 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:14:20 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:14:20 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/css/rodape.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:14:23 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/listar-processo.jsp HTTP/1.1" 200 5488
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:14:27 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 3861
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:14:30 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/listar-processo.jsp HTTP/1.1" 200 5488
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:14:38 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 3861
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:14:46 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/listar-processo.jsp HTTP/1.1" 200 5488
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:14:51 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/index.jsp HTTP/1.1" 200 3851
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:15:05 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 3861
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:15:07 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/listar-processo.jsp HTTP/1.1" 200 5488
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:15:13 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 3861
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:15:21 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/index.jsp HTTP/1.1" 200 3851
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:15:26 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 3861
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:22:45 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 4532
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:23:10 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 4536
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:23:26 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/listar-processo.jsp HTTP/1.1" 200 5488
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:23:29 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 4536
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:27:58 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 4963
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:28:17 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 4991
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:28:36 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 5187
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:30:07 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 6395
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:30:41 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 6395
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:30:49 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 6395
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:30:51 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/listar-processo.jsp HTTP/1.1" 200 5488
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:30:53 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 6395
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:31:35 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 6395
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:33:19 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 6342
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:34:09 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 6346
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:35:39 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 6383
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:35:50 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 6172
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:36:08 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 6351
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:36:32 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 6339
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:36:39 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 6339
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:36:41 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 6339
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:36:42 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/listar-processo.jsp HTTP/1.1" 200 5488
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:36:44 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 6339
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:36:48 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 6339
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:36:50 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/listar-processo.jsp HTTP/1.1" 200 5488
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:36:51 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 6339
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:37:27 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 6345
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:39:12 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 6386
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:39:41 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 6395
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:39:51 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 6412
0:0:0:0:0:0:0:1 - - [16/Sep/2016:16:42:52 -0300] "GET /NAC_INTEGRADA_2SEMESTRE/lancar-honorario.jsp HTTP/1.1" 200 6413
